spacegroup/cage,sym_type_1,sym_axis_1,sym_axis_1D(D_only),origin_1,sym_type_2,sym_axis_2,sym_axis_2D(D_only),origin_2,dihedral,offset,shift(angle_0_only)
P4332,C2,"0,-0.707107,0.707107",-,"-0.375,0.125,0.125",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0.375,0.125,-0.125",60,0.57735,-
P4332,C2,"0.707107,0,0.707107",-,"-0.125,0.375,0.125",D3,"-0.707107,0.707107,0","0.57735,0.57735,0.57735","0.125,0.125,0.125",60,0,-
P4332,C2,"0.707107,0.707107,0",-,"0.125,-0.125,-0.125",D3,"0.707107,0,0.707107","-0.57735,-0.57735,0.57735","0.375,-0.125,-0.375",60,0.288675,-
P622,C2,"0.866025,-0.5,0",-,"-0.5,-0.5,0",D6,"0.866025,-0.5,0","0,0,1","0,0,-0.5",0,0.846467,0.183013
P622,C2,"0,1,0",-,"-0.5,0,-0.5",D6,"0.866025,-0.5,0","0,0,1","0,0,0",60,0.5,-
P6222,C2,"0.866025,0.5,0",-,"0,-0.5,-0.333333",D2,"0.866025,-0.5,0","0,0,1","-0.5,-0.5,-0.166667",30,0.166667,-
P6222,C2,"0.866025,0.5,0",-,"0,-0.5,-0.333333",D2,"0.866025,-0.5,0","0.5,0.866025,0","-0.5,-0.5,-0.166667",90,0.25,-
P6222,C2,"0.866025,0.5,0",-,"0,-0.5,-0.333333",D2,"0,0,1","0.5,0.866025,0","-0.5,-0.5,-0.166667",60,0.166667,-
P6222,C2,"0,1,0",-,"-0.5,0,0",D2,"0.866025,-0.5,0","0.5,0.866025,0","-0.5,-0.5,-0.166667",90,0,-
P6222,C2,"0,1,0",-,"0,0,0",D2,"0.866025,-0.5,0","0.5,0.866025,0","-0.5,-0.5,-0.166667",90,0.5,-
P6222,C2,"0.866025,0.5,0",-,"0,0,0.166667",D2,"0.866025,-0.5,0","0.5,0.866025,0","-0.5,-0.5,0.333333",90,0.183013,-
P6222,C2,"0.866025,-0.5,0",-,"0,0,0.333333",D2,"0.866025,0.5,0","-0.5,0.866025,0","0,-0.5,0.166667",90,0.433013,-
P6322,C2,"0.5,0.866025,0",-,"-0.5,0.5,0",D3,"0,1,0","0,0,1","-0.333333,0.333333,-0.25",30,0.25,-
P6322,C2,"-0.5,0.866025,0",-,"0,0,0",D3,"0.866025,0.5,0","0,0,1","0.333333,-0.333333,-0.25",90,0.25,-
P6422,C2,"0.866025,-0.5,0",-,"-0.5,-0.5,0.166667",D2,"0,0,1","0,1,0","-0.5,0,0",30,0.166667,-
P6422,C2,"0.866025,-0.5,0",-,"-0.5,-0.5,0.166667",D2,"0,0,1","1,0,0","-0.5,0,0",60,0.166667,-
P6422,C2,"0.866025,-0.5,0",-,"-0.5,-0.5,0.166667",D2,"0.866025,0.5,0","-0.5,0.866025,0","0,-0.5,0.333333",90,0.25,-
P6422,C2,"0,1,0",-,"-0.5,0,-0.5",D2,"0.866025,-0.5,0","0.5,0.866025,0","-0.5,-0.5,-0.333333",90,0,-
P6422,C2,"0,1,0",-,"0,0,-0.5",D2,"0.866025,-0.5,0","0.5,0.866025,0","-0.5,-0.5,-0.333333",90,0.5,-
P6422,C2,"0.866025,0.5,0",-,"0,0,-0.166667",D2,"0.866025,-0.5,0","0.5,0.866025,0","-0.5,-0.5,-0.333333",90,1.83E-01,-
Cmmm,C2h,"0,0,1","0,0,1","0.25,0.25,0",D2h,"0,0,1","0,0,1","0.5,0.5,-0.5",0,0.353553,-0.5
Imma,C2h,"1,0,0","1,0,0","0.5,0,0",C2h,"0,1,0","0,1,0","0.25,0.25,0.25",90,0.25,0
P4/mmm,C2h,"0.707107,0.707107,0","0.707107,0.707107,0",0,D2h,"0,1,0","0,1,0","0,-0.5,0",45,0.5,0
P4/mmm,C2h,"1,0,0","1,0,0",0.353553,D4h,"0,0,1","0,0,1","0,0,0",90,0.5,0
I4/mmm,C2h,"0.707107,0.707107,0","0.707107,0.707107,0","-0.25,-0.75,0.25",D4,"0,0,1","1,0,0","0,0,0",90,0.353553,0
I4/mmm,C2h,"-0.707107,0.707107,0","-0.707107,0.707107,0","-0.75,0.25,0.25",C2h,"1,0,0","1,0,0","0,0.5,0",45,0.25,0
I4/mmm,C2h,"0.707107,0.707107,0","0.707107,0.707107,0",0.125,C2v,"1,0,0","0,0,1","0,0.5,0",45,0.25,0
I4/mmm,C2h,"0.707107,0.707107,0","0.707107,0.707107,0","0.75,0.25,-0.25",D2h,"0,0,1","0,0,1","0.5,0,0",90,0,0
P-3m1,C2h,"0.5,0.866025,0","0.5,0.866025,0",0.166667,C2h,"1,0,0","1,0,0","0.5,0,0",60,0.5,0
P-3m1,C2h,"0.5,0.866025,0","0.5,0.866025,0","0.341506,0.591506,0",D6d,"0,0,1","0.5,0.866025,0","0,0,0.166667",90,0,0
P6/mmm,C2h,"0,0,1","0,0,1","-0.5,0,0",D6h,"0,0,1","0,0,1","0,0,0.5",0,0.5,0.5
P6/mmm,C2h,"0,1,0","0,1,0","-0.5,0,0",D2h,"0.5,0.866025,0","0.5,0.866025,0","0.5,-0.5,0.5",30,0.5,0
P6/mmm,C2h,"-0.5,0.866025,0","-0.5,0.866025,0",0.183013,D2h,"0,0,1","0,0,1","0.5,0.5,0",90,0.683013,0
P63/mmc,C2h,"0.5,0.866025,0","0.5,0.866025,0",0.333333,D3,"0,0,1","0.866025,-0.5,0","0,0,0.25",90,0.683013,0
Pm-3m,C2h,"-0.707107,0.707107,0","-0.707107,0.707107,0",0.25,D4d,"0,1,0","-0.707107,0,0.707107","0,-0.25,0",45,0.5,0
Pm-3m,C2h,"-0.707107,0.707107,0","-0.707107,0.707107,0",0.144338,D2h,"0,0.707107,0.707107","0,0.707107,0.707107","0,0,-1",60,0.288675,0
Pm-3m,C2h,"0.707107,0.707107,0","0.707107,0.707107,0","0.5,0.5,0",D6d,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","0.166667,0.166667,-0.166667",35.2644,0,0
Pm-3m,C2h,"-0.707107,0.707107,0","-0.707107,0.707107,0",0.25,C4h,"1,0,0","1,0,0","0.5,0,0",45,0.5,0
Pm-3m,C2h,"0,0.707107,0.707107","0,0.707107,0.707107",0.25,D4,"0,1,0","0,0,1","0,0.5,0",45,0.5,0
Pm-3m,C2h,"0,0,1","0,0,1",0,D3,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","0,0,0",54.7356,0.353553,0
Pm-3m,C2h,"0,1,0","0,1,0",0,D6d,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","0.166667,0.166667,-0.166667",54.7356,0.353553,0
Pm-3m,C2h,"1,0,0","1,0,0",0,C3v,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","0,0,0",54.7356,0.353553,0
Pm-3m,C2h,"-0.707107,0,0.707107","-0.707107,0,0.707107",0.144338,C2v,"0,0.707107,0.707107","1,0,0","0,0,0",60,0.288675,0
Pm-3m,C2h,"0,0.707107,0.707107","0,0.707107,0.707107","0,-0.5,0.5",D4h,"0,1,0","0,1,0","0,-0.5,0",45,0,0
Pm-3m,C2h,"0,-0.707107,0.707107","0,-0.707107,0.707107",0.25,C4v,"0,1,0","0,0,1","0,0,0",45,0.5,0
Pm-3m,C2h,"-0.707107,0,0.707107","-0.707107,0,0.707107",0.25,D4h,"1,0,0","1,0,0","-0.5,0,0",45,0.5,0
Fm-3m,C2h,"-0.707107,0.707107,0","-0.707107,0.707107,0",0,C3v,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","0,0,0",35.2644,0.353553,0
P42/mmc,C2h,"0,1,0","0,1,0",0.353553,D4d,"0,0,1","1,0,0","0,0,0.125",90,0.5,0
R-3m:H,C2h,"0.5,0.866025,0","0.5,0.866025,0","0.197169,-0.113835,0.333333",D6d,"0,0,1","0.5,0.866025,0","0,0,0.166667",90,0.227671,0
P6/mmm,C2h,"0,1,0","0,1,0",0,D6h,"0,0,1","0,0,1","0,0,0",90,0.5,0
P6/mmm,C2h,"0.866025,0.5,0","0.866025,0.5,0","0,0,0",C2h,"1,0,0","1,0,0","0.5,0,0.5",30,0.5,0
P42/mmc,C2h,"0,0,1","0,0,1","0,-0.5,0.5",D4d,"0,0,1","1,0,0","0,0,0.125",0,0.5,-0.375
P6/mmm,C2h,"0,0,1","0,0,1","0,-0.5,-0.5",D6d,"0,0,1","0.866025,-0.5,0","0,0,0",0,0.5,0.5
P63/mmc,C2h,"0.5,0.866025,0","0.5,0.866025,0","-0.341506,-0.591506,0.5",C2v,"0,1,0","0,0,1","0,0,0.25",30,0.25,0
P6/m,C2h,"0,0,1","0,0,1","-0.5,0,0",C6h,"0,0,1","0,0,1","0,0,-0.5",0,0.5,-0.5
P63/mmc,C2h,"0.5,0.866025,0","0.5,0.866025,0",0,D3h,"0,0,1","0,0,1","0,0,-0.25",90,0.683013,0
P4/mmm,C2h,"0,0,1","0,0,1","0.5,0,0",D4h,"0,0,1","0,0,1","0,0,-0.5",0,0.5,-0.5
